"","YEAR","Population","Immature","Mature"
"1",1989,0.423897858001156,0.290722888780189,0.523427304716611
"2",1990,0.0555971212823779,0.0570687572240847,0.0542882362528884
"3",1991,0.047394505352253,0.0814818024088319,0.00152759316468361
"4",1992,0.0710364661420117,0.101474829076442,0.0112668309719633
"5",1993,0.152089566549932,0.136387791403384,0.199057518467426
"6",1994,0.555942670807707,0.531900666587837,0.626689008873621
"7",1995,0.190201877759583,0.246552681463074,0.10913270452434
"8",1996,0.685933850721992,0.900894385238037,0.456818423188318
"9",1997,0.211652241312029,0.4120722792322,0.101357652465902
"10",1998,0.37024026136952,0.789848260563575,0.0944338138132669
"11",1999,0.0314964540189777,0.0315637681311236,0.0314356981244267
"12",2000,0.0880909604297629,0.168044723745181,0.0258711123335398
"13",2001,0.235574784347601,0.306337417259969,0.131114267587096
"14",2002,0.13659416897721,0.162824321526837,0.106121595362607
"15",2003,0.510612309621694,0.696886468917912,0.118782452024818
"16",2004,0.0129595383279708,0.0165300361003645,0.00284256841652138
"17",2005,0.270669369375975,0.237635373011108,0.3643210556312
"18",2006,0.0208779800401485,0.0309371751559046,0
"19",2007,0.0254039431775247,0.0200358713472365,0.0351482284715913
"20",2008,0.0403819196813895,0.0643014207911806,0.00313166281655462
"21",2009,0.141338695238685,0.193030996014403,0.025376003226523
"22",2010,0.674645913367343,0.619058571049541,0.830116676517268
"23",2011,1.14831280089471,1.68728120856126,0.662078935501728
"24",2012,0.108278562782364,0.153496694355722,0.0667894402821756
"25",2013,0.056124314146876,0.09170615526763,0.0243438332489143
"26",2014,0.135642760896578,0.192264358015823,0.0482147738065946
"27",2015,0.778021308886233,1.08768272422339,0.0838727057022027
"28",2016,2.32951939299697,2.69592498196745,0.450503747050638
"29",2017,0.939472039191709,1.01685824154453,0.721675595436859
"30",2018,1.03414904306654,1.03075847736009,1.04253058867226
"31",2019,0.513781928659382,0.709705231670834,0.320148595515331
"32",2021,0.0244294239217651,0.0631264238520941,0.00833102590455556
"33",2022,0.190792245113363,0.236086287845859,0.0394714828179676
