"STATION_ID","MEAN_CPUE","LATITUDE","LONGITUDE"
"S-22",212741.40902906,61,-171.48
"S-23",135812.781571657,61,-172.17
"S-24",212567.627246604,61,-172.82
"S-25",160967.865900667,61,-173.5
"S-26",196476.466199379,61,-174.18
"S-27",133420.088764427,61,-174.88
"S-28",57361.1434025654,61,-175.55
"S-29",70302.7635173339,61,-176.28
"S-30",55927.4551808683,61,-176.97
"S-31",31532.3970553138,61,-177.63
"T-25",159888.700977264,61.33,-173.58
"T-26",186638.718781247,61.33,-174.33
"T-27",113422.24489647,61.33,-175
"T-28",118288.912155353,61.33,-175.67
"T-29",82290.2235198634,61.33,-176.3
"T-30",76314.7270259147,61.33,-176.97
"U-25",236145.119873919,61.67,-173.67
"U-26",195858.501135958,61.67,-174.43
"U-27",142609.3431367,61.67,-175.08
"U-28",213654.837176987,61.67,-175.78
"U-29",91679.4695243323,61.67,-176.47
"V-25",244947.128863898,62,-173.75
"V-26",312098.374792427,62,-174.5
"V-27",170649.171714072,62,-175.17
"V-28",163014.470624619,62,-175.83
