year,Total_FA_Conc_WWT,Total_FA_Conc_DWT,vial_id,cruise,gis_station,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,process_date,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region,DWT_WWT,Perc_DWT,Total_FA,WWT_DWT
2019,NA,NA,2019-20,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,82.18,12.92,202.3,0.9261,0.0909,3/19/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.09815354713313897,9.815354713313896,NA,10.18811881188119
2019,17.97,174.23,2019-21,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,80.68,13.36,184.8,1.0241,0.1056,3/22/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.10311493018259936,10.311493018259936,174.2715625,9.697916666666666
2019,8.82,NA,2019-22,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,86.37,13.97,230.1,1.59,0.1385,3/22/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.08710691823899372,8.710691823899372,101.25487364620938,11.48014440433213
2019,NA,NA,2019-23,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,85.96,14.03,235.4,0.9444,0.089,3/22/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.09423972892842016,9.423972892842016,NA,10.61123595505618
2019,8.45,82.03,2019-24,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,80.18,12.79,184.2,1.1797,0.1215,3/22/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.10299228617445114,10.299228617445113,82.0449794238683,9.70946502057613
2019,92.42,391.28,2019-25,201902,V-24,0.01412747210032455,570605.7752409088,94,1,1,70.77,10.17,126.9,1.0229,0.2416,3/22/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.23619122103822468,23.61912210382247,391.2931208609271,4.233857615894039
2019,6.06,80.52,2019-26,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,80.78,11.47,185.8,1.3577,0.1022,3/22/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.07527436105177875,7.527436105177874,80.5054990215264,13.284735812133071
2019,103.42,338.9,2019-27,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,50.89,0,41.4,0.7042,0.2149,3/22/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.305168986083499,30.5168986083499,338.8942019543974,3.2768729641693812
2019,64.85,272.18,2019-28,201901,R-22,0.0141907482154284,357176.8889880896,94,166,2,53.78,0,45.7,0.9808,0.2337,3/22/2021,0,60.6571,-171.43228,63,2.2,4,EBS,9,0.23827487765089722,23.82748776508972,272.16465554129223,4.196833547282841
2019,160.3,457.81,2019-29,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,54.56,0,48.7,0.6917,0.2422,3/22/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.3501517999132572,35.01517999132572,457.80144508670526,2.855904211395541
2019,75.08,301.03,2019-30,201901,S-24,0.0145410472330266,263874.80891232594,94,171,2,64,0,84.3,0.6515,0.1625,3/22/2021,0,61.00004,-172.80977,66,2.3,4,EBS,9,0.24942440521872603,24.9424405218726,301.0130461538461,4.0092307692307685
2019,NA,NA,2019-31,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,51.87,0,43.8,0.6212,0.1369,3/22/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.22037990985189954,22.037990985189953,NA,4.537618699780862
2019,NA,NA,2019-32,201901,S-24,0.0145410472330266,263874.80891232594,94,171,2,52.59,0,47.7,0.6538,0.1213,3/22/2021,0,61.00004,-172.80977,66,2.3,4,EBS,9,0.18553074334658917,18.553074334658916,NA,5.389942291838417
2019,54.59,339.81,2019-33,201901,R-22,0.0141907482154284,357176.8889880896,94,166,2,53.3,0,47.2,0.752,0.1208,3/24/2021,0,60.6571,-171.43228,63,2.2,4,EBS,9,0.16063829787234044,16.063829787234045,339.8317880794702,6.225165562913907
2019,50.07,330.37,2019-34,201901,R-22,0.0141907482154284,357176.8889880896,94,166,2,50.14,0,42.1,0.5384,0.0816,3/24/2021,0,60.6571,-171.43228,63,2.2,4,EBS,9,0.15156017830609214,15.156017830609214,330.3638235294117,6.598039215686274
2019,35.19,206.68,2019-35,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,53.3,0,49.4,0.5104,0.0869,3/24/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.1702586206896552,17.02586206896552,206.68556962025312,5.873417721518987
2019,20.89,202.84,2019-36,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,50.64,0,42.2,0.8331,0.0858,3/24/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.10298883687432482,10.298883687432483,202.83751748251746,9.709790209790208
2019,37.46,218.33,2019-37,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,50.51,0,41.4,0.5345,0.0917,3/24/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.1715622076707203,17.156220767072032,218.34645583424208,5.8287895310796065
2019,140.31,474.67,2019-38,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,54.81,0,53.1,0.8248,0.2438,3/24/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.29558680892337535,29.558680892337534,474.6828876127974,3.3831009023789993
2019,39.28,264.06,2019-39,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,52.41,0,46.9,1.1113,0.1653,3/24/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.14874471339872222,14.874471339872223,264.0766122202057,6.722928009679371
2019,70.36,425.24,2019-40,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,50.19,0,43.6,0.7065,0.1169,3/24/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.16546355272469923,16.546355272469924,425.22959794696317,6.043627031650984
2019,148.01,533.29,2019-41,201902,V-24,0.01412747210032455,570605.7752409088,94,1,1,75.41,11.19,175,0.8136,0.2258,3/26/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.2775319567354966,27.75319567354966,533.3079539415411,3.6031886625332152
2019,48.74,196.82,2019-42,201901,P-30,0.0146132749106355,578996.9614437403,94,187,1,84.84,12.83,226.6,0.955,0.2365,3/26/2021,0,60.00062,-176.67745,142,1.9,5,EBS,8,0.2476439790575916,24.76439790575916,196.81479915433405,4.038054968287526
2019,8.32,90.5,2019-43,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,85.51,14.19,252.1,1.1595,0.1066,3/26/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.0919361793876671,9.19361793876671,90.49756097560976,10.877110694183864
2019,8.51,103.39,2019-44,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,80.65,13.34,203.7,0.9043,0.0744,3/26/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.0822735817759593,8.22735817759593,103.43538978494625,12.15456989247312
2019,7.63,104.08,2019-45,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,82.32,13.17,203.1,0.8229,0.0603,3/26/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.07327743346700694,7.327743346700694,104.12482587064675,13.646766169154228
2019,8.42,113.53,2019-46,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,89.55,14.24,234.2,1.1409,0.0846,3/26/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.07415198527478306,7.4151985274783065,113.55056737588653,13.485815602836881
2019,8.58,88.34,2019-47,201901,ON2524,0.0147545255114301,151220.62232848714,94,155,1,82.08,11.86,208.5,1.6886,0.164,3/26/2021,0,59.50437,-172.88133,94,3,3,EBS,6,0.0971218761103873,9.71218761103873,88.34260975609756,10.296341463414635
2019,58.24,246.29,2019-48,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,47.83,0,37.5,0.5121,0.1211,3/26/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.2364772505370045,23.647725053700448,246.28161849710983,4.2287365813377376
2019,114.8,380,2019-49,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,51.55,0,47.7,0.5915,0.1787,3/26/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.30211327134404053,30.211327134404055,379.9899272523783,3.310016787912703
2019,112.83,445,2019-50,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,51.45,0,43,0.6835,0.1733,3/26/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.25354791514264813,25.354791514264814,445.00464512406234,3.9440276976341604
2019,101.64,363.62,2019-51,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,49.08,0,39.6,0.4733,0.1323,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.27952672723431227,27.952672723431228,363.6146031746032,3.5774754346182918
2019,36.8,206.86,2019-52,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,48.59,0,38.4,0.5756,0.1024,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.17790132036136205,17.790132036136207,206.85625,5.62109375
2019,134.1,406.75,2019-53,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,43.24,0,28,0.6297,0.2076,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.32968080038113384,32.968080038113385,406.75708092485553,3.0332369942196533
2019,85.17,297.86,2019-54,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,49.9,0,39.3,0.5319,0.1521,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.2859560067681895,28.59560067681895,297.8430177514793,3.497041420118343
2019,127.42,334.24,2019-55,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,48.16,0,38.9,0.5616,0.2141,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.38123219373219375,38.12321937321938,334.2320037365717,2.6230733302195235
2019,64.54,317.98,2019-56,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,50.22,0,40.1,0.6405,0.13,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.20296643247462923,20.296643247462924,317.98361538461535,4.926923076923076
2019,NA,NA,2019-57,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,52.24,0,44.8,0.5479,0.1462,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.2668370140536594,26.68370140536594,NA,3.7476060191518474
2019,90.8,407.41,2019-58,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,42.88,0,24.8,0.5981,0.1333,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.22287242935963889,22.28724293596389,407.4079519879969,4.486871717929482
2019,83.47,328.94,2019-59,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,51.3,0,45.1,0.5809,0.1474,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.25374419004992255,25.374419004992255,328.9533446404342,3.940976933514247
2019,132.32,446.59,2019-60,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,56.04,0,56.1,0.784,0.2323,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.29630102040816325,29.630102040816325,446.5728798966853,3.374946190271201
2019,66.16,237.93,2019-61,201902,V-24,0.01412747210032455,570605.7752409088,94,1,2,51.76,0,44.5,0.5409,0.1504,3/30/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.2780550933629137,27.80550933629137,237.93845744680848,3.596409574468085
2019,113.69,409.54,2019-62,201902,W-27,0.01495924640185965,67622.14170589813,162,1,2,53.71,0,47.3,0.5562,0.1544,3/30/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.2775979863358504,27.759798633585042,409.5490803108808,3.6023316062176165
2019,6.79,116.49,2019-63,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,83.08,12.47,215.5,2.1214,0.1237,3/30/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.05831054963703215,5.831054963703215,116.44548100242521,17.149555375909458
2019,58.71,280.84,2019-64,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,88.23,15.43,247.8,0.9601,0.2007,3/30/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.20904072492448703,20.9040724924487,280.8543647234679,4.783756851021425
2019,127.02,371.49,2019-65,201901,O-31,0.0133047665657412,526.1272315761246,162,178,2,74.64,0,135.1,0.9321,0.3187,4/12/2021,0,59.65589,-177.1321,176,3.3,5,EBS,8,0.34191610342237955,34.19161034223796,371.49464072795735,2.9246940696579857
