REGION,STATION_ID,LONGITUDE,LATITUDE,STATION_TYPE
EBS,HG2625,-173.02,57.17,PRE1981_MISC
EBS,I-01,-167.77,57.67,STANDARD
EBS,I-02,-167.13,57.67,STANDARD
EBS,I-03,-166.5,57.67,STANDARD
EBS,I-04,-165.88,57.67,STANDARD
EBS,I-05,-165.25,57.67,STANDARD
EBS,I-06,-164.62,57.67,STANDARD
EBS,I-07,-164,57.67,STANDARD
EBS,I-08,-163.37,57.67,STANDARD
EBS,I-09,-162.75,57.67,STANDARD
EBS,I-10,-162.13,57.67,STANDARD
EBS,I-11,-161.5,57.67,STANDARD
EBS,I-12,-160.88,57.67,STANDARD
EBS,I-13,-160.27,57.67,STANDARD
EBS,I-14,-159.63,57.67,STANDARD
EBS,I-15,-159.02,57.67,STANDARD
EBS,I-16,-158.35,57.67,STANDARD
EBS,I-18,-168.4,57.67,STANDARD
EBS,I-19,-169.03,57.67,STANDARD
EBS,I-20,-169.65,57.67,STANDARD
EBS,I-21,-170.27,57.67,STANDARD
EBS,I-22,-170.9,57.67,STANDARD
EBS,I-23,-171.53,57.67,STANDARD
EBS,I-24,-172.17,57.67,STANDARD
EBS,I-25,-172.8,57.67,STANDARD
EBS,I-26,-173.4,57.67,STANDARD
EBS,IH1918,-168.75,57.5,MTCA_CORNER
EBS,IH2019,-169.37,57.5,MTCA_CORNER
EBS,IH2120,-169.98,57.5,MTCA_CORNER
EBS,IH2221,-170.58,57.5,MTCA_CORNER
EBS,IH2322,-171.2,57.5,PRE1981_MISC
EBS,IH2423,-171.88,57.5,PRE1981_MISC
EBS,IH2524,-172.48,57.5,PRE1981_MISC
EBS,IH2625,-173.05,57.5,PRE1981_MISC
EBS,IH2726,-173.68,57.5,PRE1981_MISC
EBS,J-01,-167.8,58,STANDARD
EBS,J-02,-167.17,58,STANDARD
EBS,J-03,-166.52,58,STANDARD
EBS,J-04,-165.9,58,STANDARD
EBS,J-05,-165.25,58,STANDARD
EBS,J-06,-164.62,58,STANDARD
EBS,J-07,-164,58,STANDARD
EBS,J-08,-163.37,58,STANDARD
EBS,J-09,-162.75,58,STANDARD
EBS,J-10,-162.12,58,STANDARD
EBS,J-11,-161.48,58,STANDARD
EBS,J-12,-160.85,58,STANDARD
EBS,J-13,-160.22,58,STANDARD
EBS,J-14,-159.6,58,STANDARD
EBS,J-15,-158.97,58,STANDARD
EBS,J-16,-158.32,58,STANDARD
EBS,J-18,-168.43,58,STANDARD
EBS,J-19,-169.07,58,STANDARD
EBS,J-20,-169.7,58,STANDARD
EBS,J-21,-170.33,58,STANDARD
EBS,J-22,-170.97,58,STANDARD
EBS,J-23,-171.6,58,STANDARD
EBS,J-24,-172.23,58,STANDARD
EBS,J-25,-172.87,58,STANDARD
EBS,J-26,-173.48,58,STANDARD
EBS,JI1918,-168.73,57.83,MTCA_CORNER
EBS,JI2019,-169.37,57.83,MTCA_CORNER
EBS,JI2120,-169.98,57.83,MTCA_CORNER
EBS,JI2221,-170.62,57.83,MTCA_CORNER
EBS,JI2322,-171.27,57.83,PRE1981_MISC
EBS,JI2423,-171.95,57.83,PRE1981_MISC
EBS,JI2524,-172.55,57.83,PRE1981_MISC
EBS,JI2625,-173.15,57.83,PRE1981_MISC
EBS,K-01,-167.83,58.33,STANDARD
EBS,K-02,-167.18,58.33,STANDARD
EBS,K-03,-166.55,58.33,STANDARD
EBS,K-04,-165.92,58.33,STANDARD
EBS,K-05,-165.28,58.33,STANDARD
EBS,K-06,-164.63,58.33,STANDARD
EBS,K-07,-164,58.33,STANDARD
EBS,K-08,-163.37,58.33,STANDARD
EBS,K-09,-162.72,58.33,STANDARD
EBS,K-10,-162.05,58.33,STANDARD
EBS,K-11,-161.4,58.33,STANDARD
EBS,K-12,-160.75,58.33,STANDARD
EBS,K-13,-160.18,58.33,STANDARD
EBS,K-14,-159.55,58.33,STANDARD
EBS,K-18,-168.47,58.33,STANDARD
EBS,K-19,-169.12,58.33,STANDARD
EBS,K-20,-169.73,58.33,STANDARD
EBS,K-21,-170.38,58.33,STANDARD
EBS,K-22,-171.02,58.33,STANDARD
EBS,K-23,-171.65,58.33,STANDARD
EBS,K-24,-172.3,58.33,STANDARD
EBS,K-25,-172.93,58.33,STANDARD
EBS,K-26,-173.57,58.33,STANDARD
EBS,K-27,-174.32,58.33,STANDARD
EBS,KJ2322,-171.3,58.17,PRE1981_MISC
EBS,KJ2423,-172,58.17,PRE1981_MISC
EBS,KJ2524,-172.6,58.17,PRE1981_MISC
EBS,KJ2625,-173.32,58.17,PRE1981_MISC
